HKL Value		Reward		TotalReward	Chi Squared	Z Approx	Error	Two-Thetas	Sfs2
1 5 1			0.0		0.0		0.0		0.3	0.4978	46.196563203	27.3004
7 3 3			0.0		0.0		2.0		0.37	1.9283	72.601334037	69.5466
1 7 3			0.22		0.22		1.55		0.36	0.9932	66.8968211493	90.2271
1 1 3			0.26		0.48		1.04		0.36	0.4514	16.9416048235	36.8187
5 1 3			0.1		0.58		0.83		0.36	0.9592	47.5591860667	88.1873
1 3 1			0.06		0.65		0.7		0.36	0.5324	28.3265170018	42.1271
3 7 3			0.05		0.7		0.59		0.36	0.8954	72.6346668965	71.6226
3 3 3			0.03		0.73		0.54		0.36	0.8081	39.7679129272	70.9373
2 2 14			-3.37		-2.64		3.91		0.37	1.0835	61.7979105177	101.9829
0 4 16			-3.33		-5.97		7.24		0.34	1.5557	75.7704700384	94.8658
6 2 2			0.16		-5.81		6.92		0.34	3.3001	58.5687226088	135.1206
1 3 3			0.26		-5.55		6.4		0.34	0.7045	30.3940112777	66.1614
2 0 0			0.24		-5.31		5.92		0.34	2.02	17.6289686615	175.6782
1 1 1			0.15		-5.16		5.62		0.34	0.5749	13.0194761966	56.7652
7 1 3			0.18		-4.98		5.26		0.34	1.4031	66.8553232335	91.2915
3 1 3			0.15		-4.83		4.96		0.34	1.2003	30.3814370344	67.5761
5 3 9			-6.48		-11.32		11.45		0.34	0.4833	65.0662013285	20.8409
5 1 11			0.34		-10.98		10.78		0.34	3.2753	64.7131722767	203.727
4 0 2			0.18		-10.8		10.42		0.34	1.7854	36.5531212028	138.5255
5 5 3			0.25		-10.56		9.93		0.34	0.8107	66.8760743485	64.1048
3 5 9			-4.12		-14.67		14.05		0.34	0.4755	65.0802252419	19.5165
2 2 0			0.27		-14.4		13.51		0.34	11.1953	25.0390113278	1035.9387
2 6 2			0.26		-14.14		12.98		0.34	1.2892	58.5985395934	134.3564
5 3 3			0.27		-13.87		12.43		0.34	0.9351	54.4936931553	89.9375
0 2 16			-3.18		-17.05		15.61		0.35	1.8687	67.2407114996	13.8307
0 2 0			0.3		-16.74		15.01		0.35	1.4407	17.6394681947	177.2483
1 5 3			0.26		-16.48		14.49		0.35	0.9511	47.585042181	85.8034
0 2 12			-2.8		-19.28		17.29		0.35	0.3827	50.6142203783	17.5707
0 2 6			0.04		-19.24		17.2		0.35	1.1672	29.1471999487	131.5155
3 5 3			0.29		-18.95		16.62		0.35	0.9259	54.5093201099	87.7589
1 3 15			0.24		-18.71		16.14		0.35	0.2862	67.3623786269	8.1809
2 0 12			-0.95		-19.66		17.09		0.35	0.8079	50.6101057273	16.6151
2 0 6			0.06		-19.6		16.97		0.35	1.6278	29.1406672869	128.8477
3 3 9			-0.75		-20.35		17.73		0.35	0.3816	52.4524123761	12.0632
2 0 16			-0.24		-20.59		17.97		0.35	0.5935	67.2372591268	11.8907
1 1 15			0.11		-20.49		17.75		0.35	0.656	61.3839959686	20.6242
1 7 7			0.25		-20.24		17.26		0.35	0.4353	72.3061031614	6.1143
1 1 5			0.14		-20.1		16.97		0.35	1.9661	22.8949597146	247.5537
5 1 9			-0.24		-20.34		17.21		0.35	0.4583	58.9619928854	19.0838
0 0 2			0.21		-20.13		16.79		0.35	1.161	7.62646333295	98.931
4 2 0			-0.26		-20.39		17.05		0.35	0.9287	40.0811891304	86.5118
1 5 9			-0.24		-20.63		17.29		0.35	0.4394	58.984264935	17.7365
4 4 2			0.2		-20.43		16.89		0.35	1.2125	52.0311030722	128.6454
0 4 2			0.19		-20.24		16.51		0.35	3.2657	36.5744795411	137.7475
2 2 2			0.17		-20.07		16.17		0.35	1.1162	26.2109248846	125.5642
0 6 16			-0.37		-20.44		16.54		0.35	0.4825	89.3859051251	7.6515
3 1 9			-0.22		-20.65		16.76		0.35	0.36	45.2950695798	8.7768
0 2 4			0.18		-20.48		16.4		0.35	1.326	23.4223631322	110.0283
2 0 4			0.17		-20.31		16.07		0.35	1.3874	23.4143586184	109.347
0 2 2			0.13		-20.18		15.8		0.35	0.4614	19.2417464495	36.8131
3 1 1			0.15		-20.03		15.51		0.35	0.5239	28.3131072915	41.7464
2 0 2			0.12		-19.91		15.28		0.35	0.6502	19.2320929378	35.9547
1 3 5			0.15		-19.77		14.98		0.35	3.1323	34.189462707	190.138
3 1 5			0.14		-19.63		14.7		0.35	2.8985	34.1781376955	186.2389
1 3 9			-0.31		-19.94		15.01		0.35	0.2622	45.3040218183	7.1674
3 3 1			0.1		-19.84		14.82		0.35	0.5106	38.1558496662	33.1617
5 1 5			0.05		-19.79		14.72		0.35	1.1901	50.2495039981	127.1383
3 3 15			0.12		-19.67		14.48		0.35	0.3402	73.0835579415	3.8877
1 7 1			0.07		-19.59		14.33		0.35	0.5219	65.7901743415	26.2984
5 3 5			0.02		-19.57		14.28		0.35	2.2247	56.9473208346	134.0256
5 3 1			0.09		-19.48		14.11		0.35	0.5252	53.2386121167	32.835
4 2 12			-0.06		-19.55		14.17		0.35	0.2244	63.468523569	4.7972
3 5 1			0.08		-19.47		14.01		0.35	0.5283	53.2544885252	31.9012
2 4 4			-0.06		-19.52		14.07		0.35	0.8182	43.1484985256	64.6996
2 4 6			-0.42		-19.95		14.49		0.35	0.785	46.7364348384	64.2552
0 6 12			-0.09		-20.04		14.58		0.35	0.3425	75.0250979777	1.887
2 4 0			-0.16		-20.2		14.74		0.35	1.4359	40.0960076051	88.2765
4 2 6			-0.42		-20.61		15.16		0.35	1.6049	46.7233273538	62.1975
3 1 15			0.08		-20.53		14.99		0.35	0.2871	67.3554895111	7.7692
0 4 4			0.08		-20.45		14.84		0.35	0.8482	39.0545896029	78.0016
2 4 12			0.04		-20.41		14.76		0.35	0.2205	63.4791913795	4.8908
4 2 4			-0.06		-20.48		14.82		0.35	0.7624	43.1345383828	64.2766
2 4 2			-0.08		-20.56		14.91		0.35	0.3828	40.8766170199	13.2501
3 3 5			0.05		-20.51		14.8		0.35	1.3995	42.8396693434	151.0913
4 0 4			0.07		-20.44		14.65		0.35	1.2165	39.0343929222	79.1487
0 2 22			-0.47		-20.91		15.12		0.35	1.8317	96.7387030121	97.213
0 0 4			0.07		-20.84		14.99		0.35	0.8482	15.2869714585	59.1035
1 1 11			0.05		-20.79		14.89		0.35	2.144	44.8525636461	378.5934
4 0 8			0.03		-20.75		14.82		0.35	2.9483	47.8850437629	244.3799
1 5 5			0.02		-20.74		14.78		0.35	1.8923	50.2743192378	127.3636
4 4 4			0.07		-20.66		14.64		0.35	0.8476	53.9354251327	76.9211
2 2 8			0.03		-20.63		14.58		0.35	1.8488	40.1384116224	216.1995
0 4 0			-0.28		-20.91		14.86		0.35	6.137	35.7152072575	818.959
4 4 8			-0.01		-20.92		14.86		0.35	3.9407	61.1479986878	218.5721
