HKL Value		Reward		TotalReward	Chi Squared	Z Appr. 	Error	Two-Thetas	Sfs2
3 1 1			0.0		0.0		0.0		0.2	0.5239	28.3131072915	41.7464
1 3 7			0.0		0.0		0.28		0.18465	0.1893	39.2755843192	5.3372
0 6 14			-8.07		-8.07		8.35		0.17879	0.9096	81.7552219026	27.2955
2 6 4			1.22		-6.85		5.91		0.1822	0.8772	60.3635846112	78.02
6 0 8			0.45		-6.4		5.01		0.18138	2.9234	64.163237895	5.3359
5 3 7			0.5		-5.9		4.01		0.18138	0.2523	60.5057581853	5.4388
0 4 4			0.26		-5.63		3.48		0.18422	0.8482	39.0545896029	78.0016
1 7 3			0.21		-5.42		3.05		0.18338	0.9932	66.8968211493	90.2271
3 3 3			0.18		-5.24		2.69		0.18343	0.8081	39.7679129272	70.9373
1 3 3			0.14		-5.1		2.41		0.18359	0.7045	30.3940112777	66.1614
3 1 9			0.11		-4.99		2.18		0.18447	0.36	45.2950695798	8.7768
4 2 8			0.09		-4.89		2.0		0.18439	0.7605	51.4203212226	2.5419
3 1 15			0.08		-4.81		1.83		0.18388	0.2871	67.3554895111	7.7692
0 6 8			-0.06		-4.87		1.89		0.18325	0.7694	64.1950429677	5.6946
1 7 7			0.07		-4.8		1.76		0.18327	0.4353	72.3061031614	6.1143
1 3 15			0.06		-4.74		1.64		0.18269	0.2862	67.3623786269	8.1809
3 3 7			0.04		-4.7		1.56		0.18293	0.1558	47.1418707618	3.5073
7 1 7			0.04		-4.66		1.48		0.18174	0.3505	72.2660298289	5.0526
4 0 4			0.02		-4.64		1.43		0.18322	1.2165	39.0343929222	79.1487
2 4 0			-1.24		-5.88		2.67		0.18322	1.4359	40.0960076051	88.2765
1 1 7			0.06		-5.82		2.56		0.17988	0.2012	29.7561292971	6.5386
5 1 7			0.06		-5.76		2.44		0.17892	0.2609	54.1000446603	4.252
3 7 3			0.06		-5.71		2.33		0.17892	0.8954	72.6346668965	71.6226
3 5 7			0.05		-5.66		2.23		0.17894	0.2309	60.5203777188	5.6046
4 4 2			0.04		-5.62		2.15		0.17898	1.2125	52.0311030722	128.6454
0 6 12			0.03		-5.58		2.09		0.17946	0.3425	75.0250979777	1.887
2 4 8			0.04		-5.55		2.01		0.1794	0.1687	51.4325245866	2.4593
3 3 13			-0.24		-5.79		2.25		0.18009	0.5636	65.4922780779	9.1158
3 1 3			0.03		-5.75		2.18		0.18017	1.2003	30.3814370344	67.5761
2 4 12			0.01		-5.74		2.17		0.18049	0.2205	63.4791913795	4.8908
5 5 7			0.03		-5.71		2.1		0.18079	0.6639	72.2860687267	4.3062
0 2 8			-0.08		-5.79		2.18		0.17468	0.1155	35.7619852008	1.7384
1 3 9			0.03		-5.76		2.11		0.17473	0.2622	45.3040218183	7.1674
0 2 0			0.02		-5.73		2.06		0.17473	1.4407	17.6394681947	177.2483
2 2 8			-1.23		-6.96		3.29		0.1826	1.8488	40.1384116224	216.1995
2 2 2			0.05		-6.92		3.2		0.1826	1.1162	26.2109248846	125.5642
2 2 0			0.01		-6.91		3.19		0.1826	11.1953	25.0390113278	1035.9387
0 4 16			-19.66		-26.57		22.85		0.18692	1.5557	75.7704700384	94.8658
1 3 1			0.3		-26.27		22.25		0.18692	0.5324	28.3265170018	42.1271
