HKL Value		Reward		TotalReward	Chi Squared	Z Appr. 	Error	Two-Thetas	Sfs2
1 3 7			0.0		0.0		0.0		0.2	0.1893	39.2755843192	5.3372
3 1 1			0.0		0.0		0.28		0.18465	0.5239	28.3131072915	41.7464
2 6 4			0.08		0.08		0.11		0.26067	0.8772	60.3635846112	78.02
6 0 8			0.02		0.1		0.08		0.26282	2.9234	64.163237895	5.3359
2 0 16			-1.73		-1.62		1.8		0.27394	0.5935	67.2372591268	11.8907
5 3 7			0.18		-1.45		1.45		0.27374	0.2523	60.5057581853	5.4388
0 4 4			0.12		-1.33		1.21		0.27373	0.8482	39.0545896029	78.0016
3 3 3			0.08		-1.25		1.04		0.27383	0.8081	39.7679129272	70.9373
1 3 3			0.05		-1.2		0.95		0.27225	0.7045	30.3940112777	66.1614
3 1 9			0.04		-1.16		0.87		0.27014	0.36	45.2950695798	8.7768
4 2 8			0.04		-1.12		0.79		0.27071	0.7605	51.4203212226	2.5419
3 1 15			0.03		-1.09		0.73		0.27256	0.2871	67.3554895111	7.7692
0 6 8			0.05		-1.04		0.63		0.24526	0.7694	64.1950429677	5.6946
1 7 7			0.02		-1.01		0.58		0.24522	0.4353	72.3061031614	6.1143
7 1 7			0.02		-0.99		0.54		0.24771	0.3505	72.2660298289	5.0526
1 1 7			0.01		-0.98		0.51		0.25119	0.2012	29.7561292971	6.5386
3 3 7			0.0		-0.98		0.51		0.25105	0.1558	47.1418707618	3.5073
1 3 15			0.01		-0.97		0.48		0.25066	0.2862	67.3623786269	8.1809
4 0 4			0.01		-0.95		0.46		0.25066	1.2165	39.0343929222	79.1487
5 1 7			0.01		-0.94		0.44		0.25154	0.2609	54.1000446603	4.252
3 7 3			0.01		-0.94		0.43		0.25145	0.8954	72.6346668965	71.6226
3 5 7			0.01		-0.93		0.41		0.25141	0.2309	60.5203777188	5.6046
2 4 8			0.01		-0.92		0.39		0.25142	0.1687	51.4325245866	2.4593
4 4 2			0.0		-0.92		0.38		0.25142	1.2125	52.0311030722	128.6454
2 4 12			-0.06		-0.98		0.45		0.25146	0.2205	63.4791913795	4.8908
3 1 3			0.01		-0.97		0.43		0.25141	1.2003	30.3814370344	67.5761
0 6 12			-0.01		-0.98		0.44		0.25143	0.3425	75.0250979777	1.887
0 2 6			-0.77		-1.75		1.21		0.25386	1.1672	29.1471999487	131.5155
2 2 0			-0.05		-1.81		1.26		0.25386	11.1953	25.0390113278	1035.9387
