HKL Value		Reward		TotalReward	Chi Squared	Z Appr. 	Error	Two-Thetas	Sfs2
4 6 0			0.0		0.0		0.0		0.2	0.7863	67.1083315067	59.4729
1 3 7			0.0		0.0		117.35		0.17863	0.1893	39.2755843192	5.3372
3 1 1			29.27		29.27		58.81		0.18465	0.5239	28.3131072915	41.7464
5 3 3			9.25		38.52		40.3		0.1786	0.9351	54.4936931553	89.9375
2 6 4			5.0		43.52		30.31		0.20543	0.8772	60.3635846112	78.02
6 0 8			2.99		46.51		24.32		0.23337	2.9234	64.163237895	5.3359
5 3 7			2.03		48.54		20.27		0.23367	0.2523	60.5057581853	5.4388
5 1 9			1.28		49.81		17.72		0.26995	0.4583	58.9619928854	19.0838
0 4 4			1.11		50.92		15.51		0.27	0.8482	39.0545896029	78.0016
3 3 3			0.86		51.78		13.79		0.27007	0.8081	39.7679129272	70.9373
1 3 3			0.68		52.46		12.43		0.26931	0.7045	30.3940112777	66.1614
1 3 11			-3.88		48.58		16.31		0.22997	2.4293	52.0561920156	298.4303
3 1 9			0.68		49.26		14.95		0.23008	0.36	45.2950695798	8.7768
4 2 8			0.57		49.83		13.8		0.23008	0.7605	51.4203212226	2.5419
3 1 15			0.49		50.33		12.82		0.23008	0.2871	67.3554895111	7.7692
1 3 15			0.43		50.75		11.96		0.23008	0.2862	67.3623786269	8.1809
1 7 7			0.36		51.11		11.24		0.23146	0.4353	72.3061031614	6.1143
0 6 8			0.33		51.44		10.59		0.2324	0.7694	64.1950429677	5.6946
3 3 7			0.28		51.73		10.02		0.23233	0.1558	47.1418707618	3.5073
5 1 13			0.23		51.95		9.56		0.23188	0.4567	71.2764535317	11.3258
4 0 4			0.24		52.19		9.08		0.23181	1.2165	39.0343929222	79.1487
7 1 7			0.2		52.39		8.69		0.23325	0.3505	72.2660298289	5.0526
3 5 7			0.2		52.59		8.3		0.23325	0.2309	60.5203777188	5.6046
5 1 7			0.15		52.73		8.0		0.23552	0.2609	54.1000446603	4.252
1 1 7			0.13		52.86		7.75		0.23773	0.2012	29.7561292971	6.5386
3 7 3			0.15		53.01		7.44		0.23771	0.8954	72.6346668965	71.6226
4 4 2			0.14		53.15		7.17		0.23771	1.2125	52.0311030722	128.6454
2 4 8			0.13		53.28		6.9		0.23764	0.1687	51.4325245866	2.4593
0 6 12			0.11		53.4		6.67		0.2372	0.3425	75.0250979777	1.887
3 1 3			0.11		53.51		6.44		0.23726	1.2003	30.3814370344	67.5761
3 7 5			-5.05		48.47		11.49		0.23173	1.0548	74.7470539899	89.5814
5 5 7			0.19		48.65		11.12		0.23173	0.6639	72.2860687267	4.3062
2 0 6			-0.1		48.55		11.22		0.22274	1.6278	29.1406672869	128.8477
1 3 1			0.17		48.72		10.89		0.22281	0.5324	28.3265170018	42.1271
2 4 12			0.14		48.85		10.61		0.22245	0.2205	63.4791913795	4.8908
1 3 9			0.14		49.0		10.32		0.22245	0.2622	45.3040218183	7.1674
0 2 8			0.14		49.14		10.03		0.22234	0.1155	35.7619852008	1.7384
0 2 0			0.13		49.27		9.78		0.22234	1.4407	17.6394681947	177.2483
3 1 7			0.13		49.4		9.52		0.22242	0.257	39.2655360855	5.205
2 2 2			0.12		49.52		9.29		0.22228	1.1162	26.2109248846	125.5642
0 0 2			0.09		49.61		9.1		0.22117	1.161	7.62646333295	98.931
7 3 3			0.11		49.72		8.88		0.22117	1.9283	72.601334037	69.5466
2 2 0			0.07		49.79		8.73		0.22116	11.1953	25.0390113278	1035.9387
2 0 8			0.1		49.89		8.53		0.22153	0.1665	35.7565424018	1.5727
6 0 12			0.1		49.99		8.34		0.22207	0.5892	74.995462768	0.9301
5 5 3			0.09		50.08		8.15		0.22207	0.8107	66.8760743485	64.1048
3 3 9			0.08		50.16		7.99		0.22207	0.3816	52.4524123761	12.0632
3 3 15			0.07		50.24		7.85		0.22194	0.3402	73.0835579415	3.8877
6 2 4			0.08		50.32		7.68		0.22188	0.8727	60.3342977717	77.9073
2 0 0			0.07		50.39		7.54		0.22188	2.02	17.6289686615	175.6782
0 4 2			0.07		50.46		7.41		0.22179	3.2657	36.5744795411	137.7475
1 5 7			0.04		50.5		7.32		0.22325	0.6035	54.1236034243	4.2528
2 0 14			0.05		50.55		7.22		0.22174	0.2634	58.6945218607	7.3942
1 3 13			0.01		50.56		7.2		0.21978	0.3907	59.4200243294	11.5335
6 2 2			0.05		50.61		7.1		0.21955	3.3001	58.5687226088	135.1206
2 6 2			0.04		50.65		7.01		0.21923	1.2892	58.5985395934	134.3564
4 0 2			0.06		50.71		6.9		0.21912	1.7854	36.5531212028	138.5255
4 4 4			0.05		50.76		6.8		0.21903	0.8476	53.9354251327	76.9211
1 7 1			0.01		50.77		6.79		0.21813	0.5219	65.7901743415	26.2984
2 0 2			0.03		50.8		6.72		0.21736	0.6502	19.2320929378	35.9547
1 5 9			0.0		50.8		6.72		0.21656	0.4394	58.984264935	17.7365
7 3 1			-0.11		50.69		6.83		0.2163	0.5095	71.5359286583	22.1332
5 1 3			0.05		50.74		6.73		0.21549	0.9592	47.5591860667	88.1873
4 2 12			0.04		50.78		6.65		0.21527	0.2244	63.468523569	4.7972
3 5 1			0.03		50.81		6.59		0.21511	0.5283	53.2544885252	31.9012
0 2 2			0.03		50.84		6.52		0.21428	0.4614	19.2417464495	36.8131
1 5 3			0.05		50.89		6.43		0.21369	0.9511	47.585042181	85.8034
0 2 22			0.03		50.91		6.38		0.21677	1.8317	96.7387030121	97.213
5 3 1			0.03		50.94		6.32		0.21665	0.5252	53.2386121167	32.835
3 3 1			0.03		50.97		6.26		0.21665	0.5106	38.1558496662	33.1617
0 2 14			0.04		51.01		6.19		0.21636	0.2479	58.6982494177	6.3292
