HKL Value		Reward		TotalReward	Chi Squared	Z Appr. 	Error	Two-Thetas	Sfs2
1 3 7			0.0		0.0		0.0		0.2	0.1893	39.2755843192	5.3372
1 1 13			0.0		0.0		0.09		0.19096	0.3722	52.9310122384	10.9703
6 0 12			0.02		0.02		0.05		0.19013	0.5892	74.995462768	0.9301
3 1 1			-0.07		-0.04		0.11		0.19042	0.5239	28.3131072915	41.7464
2 6 4			-0.08		-0.12		0.19		0.19337	0.8772	60.3635846112	78.02
3 7 3			0.02		-0.11		0.16		0.19333	0.8954	72.6346668965	71.6226
6 0 8			-0.36		-0.46		0.52		0.19447	2.9234	64.163237895	5.3359
1 7 3			-0.02		-0.49		0.54		0.19274	0.9932	66.8968211493	90.2271
5 3 7			0.03		-0.45		0.47		0.19264	0.2523	60.5057581853	5.4388
0 4 4			0.0		-0.45		0.46		0.19476	0.8482	39.0545896029	78.0016
3 3 3			0.02		-0.43		0.43		0.19482	0.8081	39.7679129272	70.9373
1 3 3			0.01		-0.42		0.4		0.19506	0.7045	30.3940112777	66.1614
3 1 9			0.02		-0.4		0.37		0.19548	0.36	45.2950695798	8.7768
4 2 8			0.01		-0.39		0.35		0.19566	0.7605	51.4203212226	2.5419
3 1 15			0.01		-0.39		0.34		0.19529	0.2871	67.3554895111	7.7692
0 6 8			-0.14		-0.53		0.48		0.19672	0.7694	64.1950429677	5.6946
1 7 7			0.01		-0.52		0.47		0.19369	0.4353	72.3061031614	6.1143
1 3 15			0.01		-0.52		0.45		0.19293	0.2862	67.3623786269	8.1809
3 3 7			0.0		-0.51		0.45		0.19318	0.1558	47.1418707618	3.5073
7 1 7			-0.0		-0.52		0.45		0.18921	0.3505	72.2660298289	5.0526
4 0 4			0.0		-0.51		0.45		0.19057	1.2165	39.0343929222	79.1487
2 2 8			-1.99		-2.5		2.44		0.18847	1.8488	40.1384116224	216.1995
1 1 7			0.03		-2.48		2.38		0.18669	0.2012	29.7561292971	6.5386
5 1 7			0.04		-2.44		2.31		0.18566	0.2609	54.1000446603	4.252
3 5 7			0.05		-2.39		2.21		0.18566	0.2309	60.5203777188	5.6046
4 4 2			0.04		-2.35		2.13		0.18569	1.2125	52.0311030722	128.6454
2 4 8			0.04		-2.31		2.06		0.18568	0.1687	51.4325245866	2.4593
0 6 12			0.03		-2.28		1.99		0.1861	0.3425	75.0250979777	1.887
3 1 3			0.03		-2.25		1.93		0.18614	1.2003	30.3814370344	67.5761
5 5 7			0.03		-2.22		1.86		0.18621	0.6639	72.2860687267	4.3062
2 4 12			0.0		-2.21		1.86		0.18639	0.2205	63.4791913795	4.8908
1 3 1			0.03		-2.19		1.81		0.18644	0.5324	28.3265170018	42.1271
1 3 9			0.03		-2.16		1.75		0.18644	0.2622	45.3040218183	7.1674
0 2 0			0.02		-2.14		1.71		0.18643	1.4407	17.6394681947	177.2483
4 0 14			-7.98		-10.13		9.7		0.20621	1.986	67.7459682929	124.3248
0 2 8			0.11		-10.01		9.47		0.20721	0.1155	35.7619852008	1.7384
2 2 2			0.13		-9.88		9.21		0.20721	1.1162	26.2109248846	125.5642
2 0 8			0.1		-9.78		9.01		0.20819	0.1665	35.7565424018	1.5727
7 3 3			0.12		-9.66		8.78		0.20818	1.9283	72.601334037	69.5466
3 1 7			0.11		-9.55		8.55		0.20818	0.257	39.2655360855	5.205
2 2 0			0.07		-9.48		8.41		0.20818	11.1953	25.0390113278	1035.9387
1 3 13			0.05		-9.43		8.3		0.20773	0.3907	59.4200243294	11.5335
4 0 2			0.09		-9.34		8.12		0.20767	1.7854	36.5531212028	138.5255
5 5 3			0.09		-9.24		7.93		0.20767	0.8107	66.8760743485	64.1048
3 3 9			0.08		-9.16		7.77		0.2077	0.3816	52.4524123761	12.0632
6 2 4			0.09		-9.08		7.6		0.20775	0.8727	60.3342977717	77.9073
2 0 0			0.07		-9.0		7.45		0.20775	2.02	17.6289686615	175.6782
3 3 15			0.07		-8.93		7.31		0.20772	0.3402	73.0835579415	3.8877
1 5 7			0.04		-8.89		7.22		0.20747	0.6035	54.1236034243	4.2528
1 5 9			0.02		-8.87		7.19		0.20697	0.4394	58.984264935	17.7365
2 0 12			-0.07		-8.94		7.26		0.20697	0.8079	50.6101057273	16.6151
0 4 2			0.06		-8.88		7.13		0.20693	3.2657	36.5744795411	137.7475
2 6 2			0.05		-8.83		7.03		0.20682	1.2892	58.5985395934	134.3564
6 2 2			0.05		-8.78		6.93		0.20675	3.3001	58.5687226088	135.1206
2 0 2			0.04		-8.74		6.85		0.20652	0.6502	19.2320929378	35.9547
4 4 4			0.05		-8.68		6.74		0.20652	0.8476	53.9354251327	76.9211
3 5 1			0.04		-8.65		6.67		0.20648	0.5283	53.2544885252	31.9012
3 3 13			-0.03		-8.68		6.7		0.20633	0.5636	65.4922780779	9.1158
4 2 12			0.05		-8.63		6.61		0.20633	0.2244	63.468523569	4.7972
1 5 3			0.05		-8.58		6.5		0.20625	0.9511	47.585042181	85.8034
3 3 1			0.03		-8.55		6.44		0.20625	0.5106	38.1558496662	33.1617
0 2 2			0.04		-8.51		6.36		0.20606	0.4614	19.2417464495	36.8131
0 2 14			0.04		-8.47		6.29		0.20638	0.2479	58.6982494177	6.3292
5 3 1			0.03		-8.44		6.22		0.20638	0.5252	53.2386121167	32.835
2 0 14			0.03		-8.41		6.16		0.20669	0.2634	58.6945218607	7.3942
0 2 22			0.02		-8.39		6.13		0.20693	1.8317	96.7387030121	97.213
5 1 9			-0.0		-8.39		6.13		0.20641	0.4583	58.9619928854	19.0838
0 6 16			0.01		-8.38		6.1		0.20638	0.4825	89.3859051251	7.6515
3 5 3			0.02		-8.36		6.05		0.20631	0.9259	54.5093201099	87.7589
1 1 1			0.04		-8.31		5.97		0.2062	0.5749	13.0194761966	56.7652
1 5 13			0.01		-8.31		5.96		0.20772	1.1973	71.2966048402	12.6128
0 2 4			0.04		-8.27		5.88		0.20737	1.326	23.4223631322	110.0283
