HKL Value		Reward	TotalReward	Chi Squared Value	Z Coordinate Approximation
0 2 22			0.5	14.0		32.5814391617		0.319114061226
4 0 6			-1	13.0		34.7764127302		0.319188227483
3 3 11			-1	12.0		36.4937401431		0.319196410688
1 3 3			0.5	12.5		36.3346733901		0.319202674664
4 2 12			-1	11.5		36.3428875696		0.318887293008
0 0 4			0.5	12.0		36.1717950457		0.318857193916
2 4 8			0.5	12.5		36.0286407702		0.318910456555
6 4 4			0.5	13.0		35.9232073531		0.318910456555
1 5 1			0.5	13.5		35.6594648493		0.318908790293
2 6 4			0.5	14.0		35.5205998659		0.318870181775
0 2 20			0.5	14.5		35.3890451667		0.318579928917
5 5 5			-1	13.5		35.7309000435		0.318596543934
2 2 16			0.5	14.0		35.4119038155		0.318596543934
1 5 13			0.5	14.5		35.4085302219		0.318850079019
2 4 0			0.5	15.0		35.2190635289		0.318850079019
4 0 10			0.5	15.5		34.9206932211		0.318873533507
0 0 20			0.5	16.0		34.625129516		0.318860112612
1 3 1			0.5	16.5		34.4435859153		0.318860112612
4 0 12			0.5	17.0		34.2831039022		0.318952209653
7 3 5			-1	16.0		34.5115899219		0.318963803333
0 0 16			0.5	16.5		34.2265920311		0.318948061247
5 3 11			-1	15.5		35.337774135		0.318952392944
2 4 4			-1	14.5		35.4676005514		0.318952392944
1 7 5			-1	13.5		35.7901787847		0.318966485832
4 4 8			-1	12.5		37.0128575285		0.318976224623
3 1 3			0.5	13.0		36.8860634968		0.318976224623
3 5 1			0.5	13.5		36.6585160539		0.318976224623
2 0 6			0.5	14.0		36.491982881		0.319001793226
5 3 7			0.5	14.5		36.46585388		0.31917012895
0 6 16			0.5	15.0		36.2814171127		0.31928878113
3 1 1			0.5	15.5		36.1037497142		0.31928285717
1 1 1			0.5	16.0		35.9592771633		0.31928285717
4 0 4			0.5	16.5		35.8551180549		0.319247753608
3 1 13			0.5	17.0		35.8354375446		0.319473868051
4 2 8			0.5	17.5		35.7122358467		0.319519859044
1 7 7			0.5	18.0		35.6134086062		0.319640183816
3 5 7			0.5	18.5		35.5625647895		0.319773034751
1 5 7			0.5	19.0		35.5479738584		0.319925511646
3 1 11			-1	18.0		37.0893000257		0.319933472136
3 5 3			0.5	18.5		37.0392036108		0.319933472136
2 4 12			-1	17.5		37.0859779957		0.319679307161
6 2 4			0.5	18.0		36.9732874132		0.319652413141
5 5 3			0.5	18.5		36.8495753728		0.319652413141
0 2 0			-1	17.5		36.9238950729		0.319652413141
3 7 5			-1	16.5		37.1009913155		0.319670473996
6 0 12			-1	15.5		37.5274672686		0.319108344699
1 5 3			0.5	16.0		37.4075134336		0.319108344699
3 3 13			-1	15.0		37.4988436822		0.319373184778
1 3 5			-1	14.0		38.2635520167		0.31938919795
4 4 4			0.5	14.5		38.1613013661		0.319367494019
3 3 3			0.5	15.0		38.0436830732		0.319367494019
1 1 7			0.5	15.5		38.040914221		0.319516764111
5 5 7			-1	14.5		38.0878021571		0.319677946838
0 2 2			0.5	15.0		37.9695236511		0.319674298543
2 2 12			0.5	15.5		37.9027656251		0.319754929911
1 7 3			0.5	16.0		37.8111240886		0.319754929911
2 2 2			-1	15.0		38.2115772897		0.319754929911
5 1 3			0.5	15.5		38.1049101327		0.319768417499
5 1 7			0.5	16.0		38.0767481138		0.319898685327
6 0 4			0.5	16.5		38.0383850957		0.319898422453
5 1 13			0.5	17.0		37.9967168222		0.320069317426
2 0 8			-1	16.0		38.3176908931		0.320191207771
0 6 12			-1	15.0		38.5182319761		0.319855807806
7 1 5			-1	14.0		38.7348713189		0.319856020511
5 3 5			-1	13.0		39.1213758829		0.319875847512
0 4 6			-1	12.0		40.3824514913		0.319920794776
4 0 14			-1	11.0		40.7677812953		0.319920626284
3 5 5			-1	10.0		41.1333870123		0.319929523381
4 2 4			-1	9.0		41.1909785441		0.319929621198
4 4 2			-1	8.0		41.5404973018		0.319936996006
4 4 0			-1	7.0		43.214789428		0.319936996006
0 4 14			-1	6.0		43.5566178658		0.319936996006
2 6 8			-1	5.0		44.3714517331		0.319947095674
1 5 5			-1	4.0		44.6922636666		0.319953773614
2 2 14			-1	3.0		44.9204511599		0.319953773614
6 2 8			-1	2.0		45.733480662		0.319964533972
0 2 4			-1	1.0		45.9910232875		0.319964533972
2 0 0			-1	0.0		45.9930926459		0.319964533972
1 1 17			-1	-1.0		46.8402934279		0.31993063272
2 6 2			-1	-2.0		47.1474029677		0.319938769431
3 5 11			-1	-3.0		47.8339607118		0.319938769431
0 0 8			-1	-4.0		48.4509284142		0.319938769431
1 1 11			-1	-5.0		49.9402002264		0.319951042136
1 5 11			-1	-6.0		50.6089409216		0.319957821327
6 2 6			-1	-7.0		51.0608700321		0.319993616826
2 2 0			-1	-8.0		54.2968037021		0.319993616826
0 4 0			-1	-9.0		56.7173076556		0.319993616826
0 0 6			-1	-10.0		58.3062047442		0.320049894932
5 1 11			-1	-11.0		58.9075430324		0.320049894932
2 6 6			-1	-12.0		59.3097919894		0.320090159685
0 4 2			-1	-13.0		59.5533477567		0.320090426668
6 2 2			-1	-14.0		59.7779385385		0.320106580571
2 6 0			-1	-15.0		60.9018159759		0.320106580571
4 0 2			-1	-16.0		61.1369674458		0.320106580571
0 0 2			-1	-17.0		61.2377060224		0.320107281031
0 4 8			-1	-18.0		61.9487977084		0.320122358495
4 4 6			-1	-19.0		62.4540283755		0.320163534665
1 1 5			-1	-20.0		63.105772203		0.320184822777
