HKL Value		Reward			TotalReward	Chi Squared Value	Z Coordinate Approximation		dx
3 1 7			0			0		0		0.3		0		0.257
0 0 12			0			0		17.7815336606		0.37119227352		17.7815336606		3.2426
0 4 8			-57.1614923069			-57.1614923069		74.9430259675		0.366421005595		149.886051935		4.1351
1 3 1			12.4892860858			-44.6722062211		49.964453796		0.366442495699		149.893361388		0.5324
3 5 1			6.08269598639			-38.5895102347		37.7990618232		0.366535098516		151.196247293		0.5283
2 0 16			3.62830806896			-34.9612021658		30.5424456853		0.365604285759		152.712228426		0.5935
2 0 2			2.54091492093			-32.4202872448		25.4606158434		0.36558666423		152.763695061		0.6502
3 1 15			1.27688774017			-31.1433995047		22.9068403631		0.36536720701		160.347882542		0.2871
4 0 2			1.29470246309			-29.8486970416		20.3174354369		0.365227600627		162.539483495		1.7854
0 4 2			1.00024850709			-28.8484485345		18.3169384227		0.365095393986		164.852445805		3.2657
3 7 1			0.425186738922			-28.4232617956		17.4665649449		0.365212484155		174.665649449		1.2822
2 0 10			0.742669087675			-27.6805927079		15.9812267695		0.365539224134		175.793494465		0.6169
1 5 7			0.641222446777			-27.0393702611		14.698781876		0.365481398544		176.385382512		0.6035
0 4 4			0.554748012007			-26.4846222491		13.589285852		0.365495580728		176.660716076		0.8482
1 3 3			0.440362845018			-26.0442594041		12.7085601619		0.36544405502		177.919842267		0.7045
7 1 1			0.322448514096			-25.72181089		12.0636631337		0.365490262059		180.954947006		0.5207
2 2 0			0.292163913636			-25.4296469764		11.4793353065		0.365490262059		183.669364904		11.1953
6 2 4			0.325970189962			-25.1036767864		10.8273949265		0.36550751645		184.065713751		0.8727
4 4 4			0.299156754055			-24.8045200323		10.2290814184		0.36550751645		184.123465532		0.8476
4 2 14			-0.120242483325			-24.9247625157		10.3493239018		0.365696467769		196.637154134		1.2576
0 2 6			0.0665854293254			-24.8581770863		10.2161530431		0.365233799351		204.323060862		1.1672
9 1 1			-0.151381805255			-25.0095588916		10.3675348484		0.365334434739		217.718231816		0.8793
0 2 14			0.206203398484			-24.8033554931		9.9551280514		0.365516486093		219.012817131		0.2479
0 2 22			0.216302300086			-24.587053193		9.52252345123		0.365504999011		219.018039378		1.8317
2 6 4			0.190463487636			-24.3965897054		9.14159647595		0.365516011426		219.398315423		0.8772
1 1 3			0.178201054468			-24.2183886509		8.78519436702		0.365499408103		219.629859175		0.4514
3 3 3			0.145204459742			-24.0731841912		8.49478544754		0.36544540178		220.864421636		0.8081
2 4 6			0.153479936819			-23.9197042544		8.1878255739		0.365518857286		221.071290495		0.785
6 2 2			0.076509471152			-23.8431947832		8.03480663159		0.365406047219		224.974585685		3.3001
5 1 3			0.120657481133			-23.7225373021		7.79349166933		0.36535818742		226.011258411		0.9592
0 2 16			0.129650904034			-23.5928863981		7.53418986126		0.365325837616		226.025695838		1.8687
5 3 7			0.116532974996			-23.4763534231		7.30112391127		0.36530031482		226.334841249		0.2523
0 6 14			-0.370087491715			-23.8464409148		7.67121140298		0.365337427766		245.478764895		0.9096
4 2 2			0.0240641181183			-23.8223767967		7.62308316675		0.365463378815		251.561744503		0.457
2 6 2			0.0513757962628			-23.7710010004		7.52033157422		0.365369620177		255.691273523		1.2892
3 5 7			0.103733747529			-23.6672672529		7.31286407916		0.365347272629		255.950242771		0.2309
7 1 7			0.0985160028702			-23.56875125		7.11583207342		0.365321791976		256.169954643		0.3505
2 4 2			0.0318156476198			-23.5369356024		7.05220077818		0.365425825646		260.931428793		0.3828
1 1 1			0.0919509092526			-23.4449846931		6.86829895968		0.365425825646		260.995360468		0.5749
0 2 2			0.0867520773284			-23.3582326158		6.69479480502		0.365411744662		261.096997396		0.4614
1 5 3			0.075649335104			-23.2825832807		6.54349613481		0.36538504451		261.739845392		0.9511
1 3 5			-0.484465762404			-23.7670490431		7.02796189722		0.364814539226		288.146437786		3.1323
1 1 7			0.0757613178352			-23.6912877253		6.87643926155		0.364779744171		288.810448985		0.2012
0 4 0			-0.704280938222			-24.3955686635		7.58072019977		0.364779744171		325.97096859		6.137
5 1 11			-4.6162892923			-29.0118579558		12.1970094921		0.365320519979		536.668417651		3.2753
2 0 0			0.127636443753			-28.884221512		11.9417366046		0.365320605789		537.378147205		2.02
5 1 1			0.10878002271			-28.7754414893		11.7241765591		0.365359202795		539.31212172		0.5346
2 6 0			-6.25400739468			-35.029448884		17.9781839538		0.365359094903		844.974645829		4.3567
2 0 8			0.187261959163			-34.8421869248		17.6036600355		0.365359094903		844.975681704		0.1665
7 3 3			0.17617791253			-34.6660090123		17.2513042104		0.365333368852		845.313906311		1.9283
0 0 4			0.168399644207			-34.4976093681		16.914504922		0.365337654814		845.725246101		0.8482
1 1 15			0.162840251629			-34.3347691165		16.5888244188		0.365327347598		846.030045357		0.656
6 4 0			-2.00323707916			-36.3380061956		18.5920614979		0.365327347598		966.787197892		1.8287
1 5 1			0.159709324864			-36.1782968708		18.2726428482		0.365342181006		968.450070954		0.4978
1 1 5			0.0686867979196			-36.1096100728		18.1352692524		0.364893258541		979.304539627		1.9661
1 7 3			0.150455188262			-35.9591548846		17.8343588758		0.364841514392		980.889738171		0.9932
2 2 2			0.151483453442			-35.8076714311		17.531391969		0.364785101469		981.757950261		1.1162
1 7 5			-2.19817308377			-38.0058445149		19.7295650527		0.362442073381		1124.58520801		1.0841
3 1 1			0.16879603892			-37.837048476		19.3919729749		0.362442073381		1124.73443254		0.5239
5 5 7			0.160068474048			-37.6769800019		19.0718360268		0.362418452433		1125.23832558		0.6639
